uniq_id,product_name,product_category_tree,pid,retail_price,discounted_price,discount,description,overall_rating,brand,product_specifications,percentage_discount
c2d766ca982eca8304150849735ffef9,alisha solid women's cycling shorts,"['clothing', ""women's clothing"", 'lingerie, sleep & swimwear', 'shorts', 'alisha shorts', ""alisha solid women's cycling shorts""]",srteh2ff9kedefgf,999.0,379.0,62.06,"key features of alisha solid women's cycling shorts cotton lycra navy, red, navy,specifications of alisha solid women's cycling shorts shorts details number of contents in sales package pack of 3 fabric cotton lycra type cycling shorts general details pattern solid ideal for women's fabric care gentle machine wash in lukewarm water, do not bleach additional details style code altht_3p_21 in the box 3 shorts",no rating available,alisha,number of contents in sales package: pack of 3 fabric: cotton lycra type: cycling shorts pattern: solid ideal for: women's style code: altht_3p_21,62.06206206206206
7f7036a6d550aaa89d34c77bd39a5e48,fabhomedecor fabric double sofa bed,"['furniture', 'living room furniture', 'sofa beds & futons', 'fabhomedecor fabric double sofa bed (finish colo...']",sbeeh3qgu7mfyjfy,32157.0,22646.0,29.58,"fabhomedecor fabric double sofa bed (finish color - leatherette black mechanism type - pull out) price: rs. 22,646 • fine deep seating experience • save space with the all new click clack sofa bed • easy to fold and vice versa with simple click clack mechanism • chrome legs with mango wood frame for long term durability • double cushioned sofa bed to provide you with extra softness to make a fine seating experience • a double bed that can easily sleep two,specifications of fabhomedecor fabric double sofa bed (finish color - leatherette black mechanism type - pull out) installation & demo installation & demo details installation and demo for this product is done free of cost as part of this purchase. our service partner will visit your location within 72 business hours from the delivery of the product. in the box 1 sofa bed general brand fabhomedecor mattress included no delivery condition knock down storage included no mechanism type pull out type sofa bed style contemporary & modern filling material microfiber seating capacity 3 seater upholstery type na upholstery included no bed size double shape square suitable for living room model number fhd112 care instructions avoid outdoor use and exposure to water or prolonged moisture, avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade, keep sharp objects away from your sofa, a little tear on the fabric cover may be hard to repair, vacuum your sofas periodically with a soft bristled bru...view more avoid outdoor use and exposure to water or prolonged moisture, avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade, keep sharp objects away from your sofa, a little tear on the fabric cover may be hard to repair, vacuum your sofas periodically with a soft bristled brush attachment or lightly brush them to keep general dirt and dust off the sofa and prevent any embedding between the fibres, try to avoid food and drink spillage of any kind, if spills occur, do not leave unattended, in case of a stain, a water-free fabric cleaner can be used, however, avoid applying the cleaner directly on the stain as this can cause damage to the fabric and fade colour, pour the cleaner onto a clean cloth and test its effect on a hidden area of the sofa before cleaning the stain with the cloth, a professional scotchguard treatment is one of the easiest and most effective options to protect against spills or stains and keep pet hair at bay, getting your sofa professionally cleaned once every 6-8 months will not only take care of the nooks and corners that you can't reach, it will also make it more durable finish type matte important note cancellation not allowed for this product after 24 hrs of order booking. warranty covered in warranty warranty covers all kind of manufacturing defects. concerned product will either be repaired or replaced based on discretion. service type manufacturer warranty warranty summary 6 months domestic warranty not covered in warranty warranty does not cover for improper handling dimensions weight 40 kg height 838 mm width 1905 mm depth 939 mm disclaimer - the color of the product may vary slightly compared to the picture displayed on your screen. this is due to lighting, pixel quality and color settings - please check the product's dimensions to ensure the product will fit in the desired location. also, check if the product will fit through...view more - the color of the product may vary slightly compared to the picture displayed on your screen. this is due to lighting, pixel quality and color settings - please check the product's dimensions to ensure the product will fit in the desired location. also, check if the product will fit through the entrance(s) and door(s) of the premises - please expect an unevenness of up to 5 mm in the product due to differences in surfaces and floor levels - flipkart, or the seller delivering the product, will not take up any type of civil work, such as drilling holes in the wall to mount the product. the product will only be assembled in case carpentry assembly is required - in case the product appears to lack shine, wiping the surface with a cloth will help clear the surface of dust particles material & color upholstery color leatherette black primary color black primary material fabric secondary material subtype mango wood secondary material foam finish color leatherette black primary material subtype foam",no rating available,fabhomedecor,"installation & demo details: installation and demo for this product is done free of cost as part of this purchase. our service partner will visit your location within 72 business hours from the delivery of the product. brand: fabhomedecor mattress included: no delivery condition: knock down storage included: no mechanism type: pull out type: sofa bed style: contemporary and modern filling material: microfiber seating capacity: 3 seater upholstery type: na upholstery included: no bed size: double shape: square suitable for: living room model number: fhd112 care instructions: avoid outdoor use and exposure to water or prolonged moisture, avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade, keep sharp objects away from your sofa, a little tear on the fabric cover may be hard to repair, vacuum your sofas periodically with a soft bristled bru...view more avoid outdoor use and exposure to water or prolonged moisture, avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade, keep sharp objects away from your sofa, a little tear on the fabric cover may be hard to repair, vacuum your sofas periodically with a soft bristled brush attachment or lightly brush them to keep general dirt and dust off the sofa and prevent any embedding between the fibres, try to avoid food and drink spillage of any kind, if spills occur, do not leave unattended, in case of a stain, a water-free fabric cleaner can be used, however, avoid applying the cleaner directly on the stain as this can cause damage to the fabric and fade colour, pour the cleaner onto a clean cloth and test its effect on a hidden area of the sofa before cleaning the stain with the cloth, a professional scotchguard treatment is one of the easiest and most effective options to protect against spills or stains and keep pet hair at bay, getting your sofa professionally cleaned once every 6-8 months will not only take care of the nooks and corners that you can't reach, it will also make it more durable finish type: matte covered in warranty: warranty covers all kind of manufacturing defects. concerned product will either be repaired or replaced based on discretion. service type: manufacturer warranty warranty summary: 6 months domestic warranty not covered in warranty: warranty does not cover for improper handling weight: 40 kg height: 838 mm width: 1905 mm depth: 939 mm upholstery color: leatherette black primary color: black primary material: fabric secondary material subtype: mango wood secondary material: foam finish color: leatherette black primary material subtype: foam",29.576764001617068
f449ec65dcbc041b6ae5e6a32717d01b,aw bellies,"['footwear', ""women's footwear"", 'ballerinas', 'aw bellies']",shoeh4grsubjgzxe,999.0,499.0,50.05,"key features of aw bellies sandals wedges heel casuals,aw bellies price: rs. 499 material: synthetic lifestyle: casual heel type: wedge warranty type: manufacturer product warranty against manufacturing defects: 30 days care instructions: allow your pair of shoes to air and de-odorize at regular basis; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth; do not use polish or shiner,specifications of aw bellies general ideal for women occasion casual shoe details color red outer material patent leather heel height 1 inch number of contents in sales package pack of 1 in the box one pair of shoes",no rating available,aw,ideal for: women occasion: casual color: red outer material: patent leather heel height: 1 inch number of contents in sales package: pack of 1,50.050050050050054
bc940ea42ee6bef5ac7cea3fb5cfbee7,sicons all purpose arnica dog shampoo,"['pet supplies', 'grooming', 'skin & coat care', 'shampoo', 'sicons all purpose arnica dog shampoo (500 ml)']",psoeh3zydmsyarj5,220.0,210.0,4.55,specifications of sicons all purpose arnica dog shampoo (500 ml) general pet type dog brand sicons quantity 500 ml model number sh.df-14 type all purpose fragrance arnica form factor liquid in the box sales package shampoo sicons dog fashion arnica,no rating available,sicons,pet type: dog brand: sicons quantity: 500 ml model number: sh.df-14 type: all purpose fragrance: arnica form factor: liquid sales package: shampoo sicons dog fashion arnica,4.545454545454546
c2a17313954882c1dba461863e98adf2,eternal gandhi super series crystal paper weights  with silver finish,['eternal gandhi super series crystal paper weight...'],pwteb7h2e4kcyue3,430.0,430.0,0.0,"key features of eternal gandhi super series crystal paper weights  with silver finish crystal  paper weight product dimensions :   8cm x  8cm x 5cm a beautiful product material: crystal,eternal gandhi super series crystal paper weights  with silver finish (set of 1, clear) price: rs. 430 your office desk will sparkle and shine when you accent tables with this elegant crystal paper weight. the multifaceted crystal features gandhiji’s bust and his timeless message – “my life is my message – m.k. gandhi”. a beautiful product to gift to your near and dear ones in family and business.,specifications of eternal gandhi super series crystal paper weights  with silver finish (set of 1, clear) general model name gandhi paper weight mark v dimensions weight 323 g in the box paper weight paper weight features paper weight material crystal paper weight finish silver finish",no rating available,eternal gandhi,model name: gandhi paper weight mark v weight: 323 g paper weight material: crystal paper weight finish: silver finish,0.0
29c8d290caa451f97b1c32df64477a2c,"dilli bazaaar bellies, corporate casuals, casuals","['footwear', ""women's footwear"", 'ballerinas', 'dilli bazaaar bellies, corporate casuals, casuals']",shoeh3dzbfr88sck,699.0,349.0,50.07,"key features of dilli bazaaar bellies, corporate casuals, casuals material: fabric occasion: ethnic, casual, party, formal color: pink heel height: 0,specifications of dilli bazaaar bellies, corporate casuals, casuals general occasion ethnic, casual, party, formal ideal for women shoe details weight 200 g (per single shoe) - weight of the product may vary depending on size. heel height 0 inch outer material fabric color pink",no rating available,dilli bazaaar,"occasion: ethnic, casual, party, formal ideal for: women weight: 200 g (per single shoe) - weight of the product may vary depending on size. heel height: 0 inch outer material: fabric color: pink",50.07153075822603
e54bc0a7c3429da2ebef0b30331fe3d2,ladela bellies,"['footwear', ""women's footwear"", 'ballerinas', 'ladela bellies']",shoeh4km2w3z6eh5,1724.0,950.0,44.9,"key features of ladela bellies brand: ladela color : black,ladela bellies price: rs. 950 experience the best bellies from the house of ladela. providing the best material to keep your feet cozy and active for the whole day.,specifications of ladela bellies general occasion casual ideal for women shoe details heel height 0 inch outer material pu color black",5,ladela,occasion: casual ideal for: women heel height: 0 inch outer material: pu color: black,44.895591647331784
c73e78fb440ff8972e0762daed4fc109,carrel printed women's,"['clothing', ""women's clothing"", 'sports & gym wear', 'swimsuits', 'carrel swimsuits', ""carrel printed women's""]",swiehf3ef5pzazuy,2299.0,910.0,60.42,"key features of carrel printed women's fabric: swimlycra brand color: black, white,carrel printed women's price: rs. 910 max-coverage swimwear collection from carrel brand, brighten up your swim routine with this best fitting. this swimming costume from the house of carrel is made of imported swim lycra fabric and comes in black & white colour. it has to be washed separately and dry in shade. attractive & classy caressing the water. this swimwear provides excellent protection and chlorine resistance. fast drying combined with flatlock stitching gives an unmatched comfort and helps you to that performance you have been striving for. this swimwear with its comfort and style is your perfect companion at any pool, beach or water activity. time for you to do your own thing and go with the flow. this swimwear lightly padded, for modesty and support. this product support to this size : l, xl, xxl, 3xl,4xl.,specifications of carrel printed women's top details neck round neck swimsuit details fabric swimlycra type swim-dress general details pattern printed ideal for women's occasion sports fabric care wash with similar colors, use detergent for colors in the box 1 swimware",no rating available,carrel,neck: round neck fabric: swimlycra type: swim-dress pattern: printed ideal for: women's occasion: sports,60.41757285776425
83c53f8948f508f51d2249b489ca8e7d,freelance vacuum bottles 350 ml bottle,"['pens & stationery', 'school supplies', 'water bottles', 'freelance water bottles', 'freelance vacuum bottles 350 ml bottle (pack of ...']",botegytz2t6wujmm,699.0,699.0,0.0,"specifications of freelance vacuum bottles 350 ml bottle (pack of 1, green) general body material stainless steel type bottle in the box number of contents in sales package pack of 1 sales package 1 pcs in one packet",no rating available,freelance,body material: stainless steel type: bottle number of contents in sales package: pack of 1 sales package: 1 pcs in one packet,0.0
c275ee5ac19f774a3ef7da71b40aabd8,style foot bellies,"['footwear', ""women's footwear"", 'ballerinas', 'style foot bellies']",shoeh4fshedemvtm,899.0,449.0,50.06,"key features of style foot bellies ballerina shoes ballerina flats,style foot bellies price: rs. 449 ballet shoes that fits perfectly for casual and party wear,specifications of style foot bellies general occasion casual ideal for women shoe details heel height 1 inch outer material pu color black in the box 1 slipper",no rating available,style foot,occasion: casual ideal for: women heel height: 1 inch outer material: pu color: black,50.055617352614014
